                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                  1.079,                0.73593,                0.97901,                0.90104,                0.86852,                0.92272,                0.69279,                0.98337,                0.64599,                0.93351,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.0696,                0.73909,                0.96247,                0.91596,                0.82877,                0.91465,                0.66516,                 1.0354,                0.68594,                0.95816,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.0586,                0.81931,                0.95429,                0.91295,                0.81999,                0.90387,                0.65769,                 1.0699,                0.77112,                0.97463,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.0353,                0.75727,                0.93955,                0.89483,                0.82463,                0.90884,                0.66888,                  1.018,                0.75984,                0.95362,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.0328,                0.72716,                0.94423,                0.88976,                0.83235,                0.91843,                0.67184,                 1.0087,                0.70903,                0.93902,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.0217,                0.78353,                0.93155,                0.85346,                0.84297,                0.91641,                0.66888,                 1.0082,                0.69798,                 0.9302,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.0488,                0.73023,                0.97185,                0.83025,                 0.8504,                 0.9134,                0.67919,                0.97839,                0.69723,                  0.922,             0.00013219,             0.00013219,             0.00013219
                     96,                  1.016,                0.72375,                0.95697,                0.83951,                0.86071,                0.91764,                0.69039,                0.96808,                0.68564,                0.91919,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.0093,                0.69294,                0.94695,                0.84607,                0.87223,                0.91831,                0.69745,                0.95337,                0.68585,                0.91488,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.0401,                 0.6968,                 0.9507,                0.86489,                 0.8752,                0.91953,                0.69912,                0.94375,                 0.6835,                0.91253,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.0595,                 0.7302,                  0.954,                0.87951,                0.86097,                 0.9221,                0.70362,                0.94432,                0.67448,                 0.9125,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 0.9849,                0.72679,                0.93484,                0.87267,                0.89008,                0.92519,                0.70482,                0.94582,                0.65664,                0.91422,             4.9677e-05,             4.9677e-05,             4.9677e-05
